"";"GSM1866367";"GSM1866368";"GSM1866369";"GSM1866370";"GSM1866371";"GSM1866372";"GSM1866373";"GSM1866374";"GSM1866381";"GSM1866382";"GSM1866383";"ID";"SPOT_ID";"CONTROL_TYPE";"REFSEQ";"GB_ACC";"GENE";"GENE_SYMBOL";"GENE_NAME";"UNIGENE_ID";"ENSEMBL_ID";"TIGR_ID";"ACCESSION_STRING";"CHROMOSOMAL_LOCATION";"CYTOBAND";"DESCRIPTION";"GO_ID";"SEQUENCE";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"A_19_P00315657";2,1810927;1,6027673;1,8534467;1,3328576;1,5222872;1,5817523;1,7795738;1,8184094;2,721967;3,0108466;2,5275652;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,119957633333333;2,26578259411765;-0,350523039778558;0,730525377734463;0,920016090749275;-6,44908907342912
"A_19_P00315662";2,37256;1,8994635;2,145064;1,556793;3,251441;3,4655669;1,9958718;5,2805405;3,5348928;3,225781;2,702455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,18972475;3,07409315294118;-1,77937407985596;0,0942076085442172;0,27833114568786;-5,0142790627482
"A_19_P00315670";9,557727;9,546568;8,34547;9,630686;10,616564;11,206013;12,3936615;13,992988;11,02469;11,143387;11,722828;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,37615341666666;11,1978633823529;-5,85823232736221;2,43962058445607e-05;0,00166332080360736;2,83643898630551
"A_19_P00315691";7,5527263;6,0235615;4,7891016;3,847206;4,9194927;3,981894;4,3559513;4,630947;4,5181546;3,0453105;3,0312996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,692214533333336;4,09852646470588;0,941280205747666;0,360577972286002;0,636321107223148;-6,06472463797303
"A_19_P00315705";6,190548;5,215285;5,4426417;4,6366568;5,185806;4,555023;5,1978226;4,5659;4,87992;3,4105916;5,036719;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,322465450000003;4,60269831764706;0,554079026303695;0,587197608502458;0,853784520031736;-6,35466742663602
"A_19_P00315706";6,101192;5,068236;5,067055;4,9084935;4,971536;4,8251886;5,3139396;5,2671885;2,7157094;4,414691;4,4658384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,133613866666664;4,49570327647059;-0,267951174632431;0,792165778748491;0,932878270627871;-6,47547148683005
"A_19_P00315710";2,345875;2,2942784;1,9881308;3,2624044;4,9758344;3,6010275;2,020232;1,8810682;2,7025135;3,3086343;2,5663822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,12727498333333;3,3258861;1,89812002241774;0,0758995508969711;0,241429552618966;-4,82780787498805
"A_19_P00315716";8,388863;7,614426;7,1566405;6,832915;6,7940717;6,74027;6,4615645;6,445263;5,884518;5,8410616;4,264791;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,801117283333335;6,13678415294118;1,63434165768329;0,121735689969593;0,32655253430431;-5,23104515026285
"A_19_P00315725";3,7021523;1,7187076;3,0887837;1,4615701;1,6385417;1,7186756;2,4473634;1,8770194;3,9107628;3,0130723;2,5394766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0592137666666677;2,73403778235294;0,0895454610704607;0,929761447096362;0,972250228295451;-6,50854115695126
"A_19_P00315773";2,3315248;1,7260187;1,9767456;4,9348197;5,0681605;5,2925086;5,099079;5,198973;3,7985067;4,9138284;4,7559376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,59406301666667;4,14176598235294;-1,78945001321768;0,0925153099778055;0,275124258906143;-4,99875991654977
"A_19_P00315774";3,5420597;1,5811676;2,1307755;4,000889;3,6218474;2,0231183;2,0240364;1,9729369;4,150281;2,9895139;2,5095375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,818156266666668;2,80790957058824;1,2923637017576;0,214612506602683;0,460306639269058;-5,68786343633952
"A_19_P00315778";5,2286544;5,4337635;8,215403;9,651332;7,726226;7,681822;5,525306;4,726504;7,4942756;6,9913816;6,023183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,19696181666667;6,99155512352941;2,56914415842923;0,0206077296001067;0,107752550800213;-3,65278121413086
"A_19_P00315779";3,9368794;5,8667803;8,315842;9,976848;8,283716;8,127567;5,7682786;5,361832;7,66886;7,401879;6,590419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,85288348333334;7,28776261176471;1,79286636701501;0,0919476169251199;0,273783553643778;-4,99348489711349
"A_19_P00315783";5,324355;5,0021443;4,710053;4,439424;5,6017103;5,380252;4,667105;5,864701;4,257305;3,2581558;3,254335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,189579899999999;4,47165771176471;-0,290162095017132;0,77542477125014;0,926884453474544;-6,46905963443364
"A_19_P00315789";2,4352508;2,5378084;2,1323578;1,604347;5,5751576;5,812351;4,66315;4,336825;2,7824967;3,4289787;5,222626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,15044206666667;3,62219199411765;-1,15001099516221;0,267064149068933;0,526504965615788;-5,8527882334089
